timestamp,x,y
1659722174.000,1130.847590,-811.767442
1659722175.000,1131.192668,-810.755569
1659722176.000,1131.517447,-809.754814
1659722177.000,1131.781331,-808.609507
1659722178.000,1132.085811,-807.419721
1659722179.000,1132.349694,-806.463444
1659722180.000,1132.566214,-805.318137
1659722181.000,1132.870694,-804.017156
1659722182.000,1133.154876,-802.738414
1659722183.000,1133.445824,-801.192805
1659722184.000,1133.851798,-799.513762
1659722185.000,1134.129214,-797.945913
1659722186.000,1134.508123,-796.533738
1659722187.000,1134.819370,-795.077084
1659722188.000,1134.927630,-793.653789
1659722189.000,1134.907331,-792.441764
1659722190.000,1134.961461,-791.274217
1659722191.000,1134.582552,-790.039954
1659722192.000,1134.183344,-788.939124
1659722193.000,1132.775967,-787.838294
1659722194.000,1131.943720,-786.826420
1659722195.000,1131.348292,-786.148131
1659722196.000,1130.867889,-785.314169
1659722197.000,1129.656733,-784.791553
1659722198.000,1129.128967,-783.990950
1659722199.000,1129.054538,-782.923479
1659722200.000,1129.331954,-781.678095
1659722201.000,1130.806993,-780.621744
1659722202.000,1131.632473,-780.232561
1659722203.000,1132.674474,-779.832260
1659722204.000,1133.675876,-779.787782
1659722205.000,1134.359266,-780.076888
1659722206.000,1134.934396,-780.399354
1659722207.000,1135.205045,-780.588385
1659722211.000,1135.293006,-780.643983
1659722212.000,1135.293006,-780.643983
1659722213.000,1135.293006,-780.643983
1659722214.000,1135.293006,-780.643983
1659722215.000,1135.293006,-780.643983
1659722216.000,1135.293006,-780.643983
1659722217.000,1135.293006,-780.643983
1659722218.000,1135.293006,-780.643983
1659722219.000,1135.293006,-780.643983
1659722220.000,1129.616135,-771.348087
1659722222.000,1135.293006,-780.643983
1659722223.000,1135.293006,-780.643983
1659722224.000,1135.293006,-780.643983
1659722225.000,1135.293006,-780.643983
1659722226.000,1135.293006,-780.643983
1659722227.000,1135.293006,-780.643983
1659722228.000,1135.293006,-780.643983
1659722229.000,1135.293006,-780.643983
1659722371.000,1106.428249,-836.408238
1659722372.000,1107.707067,-832.093875
1659722373.000,1118.302991,-811.978713
1659722374.000,1119.284095,-810.355267
1659722375.000,1121.063615,-804.595370
1659722376.000,1122.301836,-800.614591
1659722377.000,1123.540057,-797.256505
1659722378.000,1124.947433,-794.276481
1659722379.000,1126.165356,-791.285337
1659722380.000,1127.768953,-788.594420
1659722381.000,1130.170967,-786.403880
1659722382.000,1132.160240,-784.179981
1659722383.000,1133.439058,-781.611378
1659722384.000,1134.656980,-778.531279
1659722385.000,1135.380968,-776.029393
1659722386.000,1135.935799,-774.094601
1659722387.000,1135.110318,-775.740286
1659722388.000,1134.169811,-777.263657
1659722389.000,1132.755668,-779.632109
1659722390.000,1132.424123,-780.577266
1659722391.000,1132.207603,-780.821894
1659722392.000,1131.740733,-781.388989
1659722393.000,1131.524214,-780.732938
1659722394.000,1130.928785,-780.010171
1659722395.000,1131.713668,-779.065015
1659722396.000,1132.410590,-778.320009
1659722397.000,1131.023512,-779.409719
1659722398.000,1129.866486,-781.188838
1659722399.000,1129.169564,-781.944963
1659722400.000,1129.013941,-782.423101
1659722401.000,1129.027473,-782.701089
1659722402.000,1128.810954,-783.190346
1659722403.000,1128.614733,-783.501692
1659722404.000,1128.662096,-782.923479
1659722405.000,1128.973343,-782.701089
1659722406.000,1128.925980,-782.512057
1659722407.000,1129.210161,-782.011680
1659722408.000,1129.494343,-781.633617
1659722409.000,1129.392850,-781.611378
1659722410.000,1129.568772,-780.977567
1659722411.000,1130.055941,-780.610624
1659722412.000,1130.292759,-780.454951
1659722413.000,1130.380720,-780.354876
1659722414.000,1130.637837,-780.466071
1659722415.000,1130.840824,-780.499429
1659722416.000,1130.894954,-780.499429
1659722417.000,1130.901720,-780.477190
1659722418.000,1130.685201,-780.477190
1659722419.000,1130.624304,-780.532788
1659722420.000,1130.401019,-780.766297
1659722421.000,1130.096538,-780.877492
1659722422.000,1129.913850,-780.944209
1659722423.000,1129.927382,-780.799655
1659722424.000,1129.974746,-780.655102
1659722425.000,1130.076239,-780.577266
1659722426.000,1130.008577,-780.632863
1659722427.000,1130.042408,-780.632863
1659722428.000,1130.076239,-780.632863
1659722429.000,1130.103304,-780.655102
1659722430.000,1130.373954,-780.699580
1659722431.000,1130.448382,-780.710699
1659722432.000,1130.475447,-780.721819
1659722433.000,1130.482214,-780.721819
1659722434.000,1130.488980,-780.721819
1659722435.000,1130.495746,-780.721819
1659722436.000,1130.488980,-780.732938
1659722437.000,1130.488980,-780.744058
